id,polarity,score
809632399726260224,Neutral,0.0
809632486401654784,Neutral,0.0
809633373358587904,Neutral,0.0
809634013417771008,Neutral,0.0
809634490670845952,Neutral,0.0
809635417540689920,Neutral,0.0
809635669542838272,Neutral,0.0
809635739734601728,Neutral,0.0
809635917518532608,Neutral,0.0
809636087064920064,Neutral,0.0
809636381144260608,Neutral,0.0
809636564146024449,Neutral,0.0
809636585063010304,Neutral,0.0
809637130934816768,Positive,0.253
809637525820207104,Neutral,0.0
809638371647778816,Neutral,0.0
809638459686219776,Neutral,0.0
809638814490697728,Neutral,0.0
809639625732067329,Neutral,0.0
809639907698282496,Neutral,0.0
809639922546184192,Neutral,0.0
809640272174796801,Neutral,0.0
809640575414784000,Neutral,0.0
809641032069640192,Positive,0.2
809641433082646530,Positive,0.533
809644704748797952,Positive,0.622
809645875949694976,Neutral,0.0
809646859673341952,Negative,-0.342
809648938664022016,Neutral,0.0
809649761846497280,Positive,0.126
809649779248660480,Positive,0.104
809651043072143360,Positive,0.455
809652694440935424,Neutral,0.0
809654483177197568,Positive,0.126
809655067896791041,Neutral,0.0
809655683964608512,Neutral,0.0
809655870921449472,Neutral,0.0
809657459283525632,Negative,-0.375
809657981012819968,Positive,0.4
809659187387047936,Negative,-0.529
809659624479551488,Neutral,0.0
809659726019620864,Neutral,0.0
809659746500362244,Neutral,0.0
809660061517774848,Neutral,0.0
809660074729869312,Neutral,0.0
809660085228158976,Neutral,0.0
809660097181995008,Neutral,0.0
809660112860221440,Neutral,0.0
809660125862653953,Neutral,0.0
809660430247464960,Neutral,0.0
809661764350738432,Neutral,0.0
809662470159794176,Positive,0.302
809662472978333696,Neutral,0.0
809662519711145984,Neutral,0.0
809662931642318848,Neutral,0.0
809663261092282369,Neutral,0.0
809663300929781760,Neutral,0.0
809663656589828096,Neutral,0.0
809665402267521024,Neutral,0.0
809666090125004800,Neutral,0.0
809667552590839808,Neutral,0.0
809667622749016064,Positive,0.204
809667889003458560,Neutral,0.0
809667968569372672,Negative,-0.186
809668050077319168,Neutral,0.0
809668636197539840,Neutral,0.0
809669193415229440,Neutral,0.0
809669677987364865,Neutral,0.0
809671480397004801,Neutral,0.0
809671626971299840,Negative,-0.148
809672141197242368,Neutral,0.0
809672436744683520,Neutral,0.0
809673099637616640,Positive,0.187
809673308241272832,Positive,0.206
809673678002786304,Neutral,0.0
809673839017918464,Positive,0.187
809674934666534912,Positive,0.398
809676104088875008,Positive,0.136
809676206358425600,Positive,0.206
809676597569683456,Neutral,0.0
809676674707189760,Positive,0.222
809677193609498624,Positive,0.167
809677502624989184,Positive,0.263
809677669390577664,Neutral,0.0
809678803882700801,Positive,0.242
809678932433899520,Neutral,0.0
809679727900266499,Positive,0.165
809680013456998400,Neutral,0.0
809681202579963904,Positive,0.167
809681590133530624,Neutral,0.0
809681630776479744,Neutral,0.0
809681695163248640,Positive,0.165
809681720110968832,Neutral,0.0
809681759629676544,Positive,0.502
809682017524715520,Neutral,0.0
809682178611286016,Neutral,0.0
809682664110354432,Neutral,0.0
809682846432559104,Negative,-0.4
809683300377825281,Positive,0.32
809683610345361408,Neutral,0.0
809685520955637760,Neutral,0.0
809689416151298048,Neutral,0.0
809689559164391425,Positive,0.253
809690356329676800,Neutral,0.0
809690603495768064,Neutral,0.0
809690822602014720,Neutral,0.0
809691132296855552,Neutral,0.0
809691536858447872,Neutral,0.0
809692717584240640,Neutral,0.0
809692905661222912,Positive,0.1
809692947952209920,Neutral,0.0
809693551445557251,Neutral,0.0
809693655317549056,Neutral,0.0
809694482111275008,Positive,0.2
809694495231135744,Positive,0.935
809695788142067713,Positive,0.122
809695834271084544,Neutral,0.0
809695964596289538,Neutral,0.0
809696226199343104,Positive,0.32
809698532991111168,Neutral,0.0
809699418035339264,Positive,0.2
809700704659050496,Neutral,0.0
809700837878616064,Positive,0.316
809701314108289024,Negative,-0.186
809701318914883584,Negative,-0.186
809701324640108544,Negative,-0.186
809701329497104384,Negative,-0.186
809701334064787456,Negative,-0.186
809701339798368256,Negative,-0.186
809701344789590016,Negative,-0.186
809701350292525057,Negative,-0.186
809701354381905920,Negative,-0.186
809701360086249472,Negative,-0.186
809701366071459840,Negative,-0.186
809701371310145536,Negative,-0.186
809701376376930304,Negative,-0.186
809701381259100161,Negative,-0.186
809701385474375680,Negative,-0.186
809701389593182208,Negative,-0.186
